2023-01-12,Meeting,Team meeting to discuss project updates
2023-01-13,Appointment,Dentist appointment for routine check-up
2023-01-14,Birthday,John's birthday celebration at the park
2023-01-15,Conference,Attending a tech conference on AI and machine learning
2023-01-16,Anniversary,Celebrating 10 years of marriage with a romantic dinner
2023-01-17,Workshop,Joining a photography workshop to learn new techniques
2023-01-18,Vacation,Family vacation to a tropical beach destination
2023-01-19,Sports Event,Watching a basketball game between local teams
2023-01-20,Exhibition,Visiting an art exhibition showcasing contemporary artists
2023-01-21,Training,Attending a leadership training program for professional development
2021-05-13,test,test
2023-05-10,test,test
2023-05-18,test,test
